CAMMENU_0EV,0EV
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,vimiento rápido
CAMMODE_LANDSCAPE,Paisaje
CAMMODE_LANDSCAPE_GUIDE,Toma paisajes
CAMMODE_LANDSCAPE_GUIDE_2,con enfoque distante
CAMMODE_MOVIE,Modo película
CAMMODE_MOVIE_GUIDE,Graba película
CAMMODE_MOVIE_GUIDE_2,con sonido
CAMMODE_PAUTO,Programa automático
CAMMODE_PAUTO_GUIDE,Exposición automática con
CAMMODE_PAUTO_GUIDE_2,opciones ajustables
CAMMODE_SNOW,Nieve
CAMMODE_SNOW_GUIDE,Toma escena luminosa
CAMMODE_SNOW_GUIDE_2,blanquecina
CAMMODE_SOFTSNAP,Instantánea suave
CAMMODE_SOFTSNAP_GUIDE,Toma objetos con
CAMMODE_SOFTSNAP_GUIDE_2,fondo suave
CAMMODE_TWILIGHT,Crepúsculo
CAMMODE_TWILIGHTPORTRAIT,Retrato crepúsculo
CAMMODE_TWILIGHTPORTRAIT_GUIDE,Toma retratos en
CAMMODE_TWILIGHTPORTRAIT_GUIDE_2,poca luz con flash
CAMMODE_TWILIGHTTRIPOD_GUIDE,Toma escenas en poca luz
CAMMODE_TWILIGHTTRIPOD_GUIDE_2,usando un trípode
CAMMODE_WATER,Submarino
CAMMODE_WATER_GUIDE,Toma submarina en colores
CAMMODE_WATER_GUIDE_2,naturales con envoltura
CLOCKMENU_APR,ABR
CLOCKMENU_AUG,AGO
CLOCKMENU_DEC,DIC
CLOCKMENU_DMY,D-M-A
CLOCKMENU_FEB,FEB
CLOCKMENU_JAN,ENE
CLOCKMENU_JUL,JUL
CLOCKMENU_JUN,JUN
CLOCKMENU_MAR,MAR
CLOCKMENU_MAY,MAY
CLOCKMENU_MDY,M-D-A
CLOCKMENU_NOV,NOV
CLOCKMENU_OCT,OCT
CLOCKMENU_SEP,SEP
CLOCKMENU_UNKNOWN,---
CLOCKMENU_YMD,A-M-D
COM_AUTO,Auto
COM_BACK,Atrás
COM_CANCEL,Cancelar
COM_CLEAR,Quitar
COM_CLEARALL,Borrar todo
COM_CONTINUE,Continuar
COM_CREATED,Creada
COM_ENTRY,Añadir
COM_EXIT,Salir
COM_FAST,Rápida
COM_HIGH,Alto
COM_INTERNALMEMORY,Memoria interna
COM_LOW,Bajo
COM_MED,Medio
COM_MIN,Min
COM_MOVIEREC,GRABAR
COM_MOVIESTBY,Espera
COM_MS,Memory Stick
COM_MS_AND_INTERNALMEMORY,Memory Stick ＋ Memoria interna
COM_NOOFFILES,N°de archivos
COM_NORMAL,Normal
COM_OFF,Desactivar
COM_OK,OK
COM_ON,Activar
COM_PREVIEW,Previsualizar
COM_REMAIN,Tomas restantes
COM_SAVE,Guardar
COM_SLOW,Lenta
COM_STANDARD,Estándar
COM_STANDARD2,Estándar
COM_START,Inicio
COM_USBMODE,Modo USB
COM_VOLUME,VOL.
COU_640FINE,640(Fina) no disponible
COU_640FINE_2,
COU_AUDIOPLUGIN,Para salida de audio, conectar una
COU_AUDIOPLUGIN_2,clavija de audio
COU_BATTERY_HEATED,Recalentamiento de la cámara
COU_BATTERY_HEATED_2,Deje que se enfríe
COU_BATTERY_INFOLITHIUM,Sólo para batería
COU_BATTERY_INFOLITHIUM_2,"InfoLITHIUM"
COU_BATTERY_INVALID,Para utilizar solamente
COU_BATTERY_INVALID_2,con batería compatible
COU_BGM_ERROR,Error de música
COU_BGM_ERROR_2,
COU_BGM_FORMATERROR,Error de formato de música
COU_BGM_FORMATERROR_2,
COU_BURST_INVALID,La ráfaga no es válida
COU_BURST_INVALID_2,
COU_CANNOTACCESS_MS,Imposible acceder a Memory
COU_CANNOTACCESS_MS_2,Stick. Acceso denegado
COU_CANNOTCREATE_FOLDERS,Imposible crear más carpetas
COU_CANNOTCREATE_FOLDERS_2,
COU_DATA_ERROR,Error archivo gestor de imágenes
COU_DATA_ERROR_2,
COU_ERROR10,Error10
COU_ERROR20,Error20
COU_ERROR30,Error30
COU_ERROR40,Error40
COU_ERROR50,Error50
COU_EXCEEDED_LIMIT,Seleccionado el número máximo
COU_EXCEEDED_LIMIT_2,de imágenes
COU_FILEERROR,Error archivo
COU_FILEERROR_2,
COU_FILEPROTECT,Proteger Archivo
COU_FILEPROTECT_2,
COU_FLASHSETTING_INVALID,No pueden cambiarse los
COU_FLASHSETTING_INVALID_2,ajustes de flash
COU_FOLDER_ERROR,Error carpeta
COU_FOLDER_ERROR_2,
COU_FORMATERROR_INTERNALMEMORY,Error al formatear la
COU_FORMATERROR_INTERNALMEMORY_2,memoria interna
COU_FORMATERROR_MS,Error al formatear el
COU_FORMATERROR_MS_2,Memory Stick
COU_IMAGESIZEOVER,Tam. imag. incomp
COU_IMAGESIZEOVER_2,
COU_INKERROR,Err. tinta
COU_INKERROR_2,
COU_INVALID_FILE,Archivo no válido
COU_INVALID_FILE_2,
COU_INVALID_FOLDER,Operación no disponible con
COU_INVALID_FOLDER_2,ver carpetas
COU_INVALID_MS,El arch. gestor de imágs no puede
COU_INVALID_MS_2,guardarse en este Memory Stick
COU_INVALID_OPERATION,Operac. no válida
COU_INVALID_OPERATION_HDOUT,La operación no puede ejecutarse
COU_INVALID_OPERATION_HDOUT_2,durante la salida HD(1080i)
COU_INVALID_OPERATION_MOVIEFILE,La operación no puede ejecutarse
COU_INVALID_OPERATION_MOVIEFILE_2,para archivos de película
COU_INVALID_OPERATION_NGFILE,La operación no puede ejecutarse
COU_INVALID_OPERATION_NGFILE_2,para archivos no compatibles
COU_INVALID_OPERATION_PICTBRIDGE,La operación no puede ejecutarse
COU_INVALID_OPERATION_PICTBRIDGE_2,cuando se usa conexión PictBridge
COU_INVALID_OPERATION_REMOTE,La operación no puede ejecutarse
COU_INVALID_OPERATION_REMOTE_2,con mando a distancia
COU_INVALID_OPERATION_TVOUT,La operación no puede ejecutarse
COU_INVALID_OPERATION_TVOUT_2,durante salida de televisión
COU_LENSCAPOFF,Quite la tapa del objetivo y
COU_LENSCAPOFF_2,apague y vuelva a encender
COU_LENSCOVER_OPEN,Abra la tapa del objetivo para
COU_LENSCOVER_OPEN_2,hacer la toma
COU_LOWINK,Hay poca tinta
COU_LOWINK_2,
COU_MACRO_INVALID,Macro no válido
COU_MACRO_INVALID_2,
COU_MEDIAERROR_INTERNALMEMORY,Error memoria interna
COU_MEDIAERROR_INTERNALMEMORY_2,
COU_METERING_INVALID,No hay disponibles operaciones
COU_METERING_INVALID_2,del modo de medición
COU_MSR_NOTUSEFUNCTION,Función no compatible con este
COU_MSR_NOTUSEFUNCTION_2,Memory Stick
COU_MS_ERROR,Reinserte el Memory Stick
COU_MS_ERROR_2,
COU_MS_LOCKED,Memory Stick bloqueado
COU_MS_LOCKED_2,
COU_MS_TYPEERROR,Error tipo Memory Stick
COU_MS_TYPEERROR_2,
COU_NOBATTERY,Insuficiente batería
COU_NOIMAGE,No hay imágenes
COU_NOIMAGE_2,
COU_NOIMAGE_PLAY,Alguna imagen no se transfirió
COU_NOIMAGE_PLAY_2,Formato no reconocible.
COU_NOINK,No tinta
COU_NOINK_2,
COU_NOMS,No Memory Stick
COU_NOMS_2,
COU_NOPAPER,No papel
COU_NOPAPER_2,
COU_NOSOFTWAREFILE,No archivo Software
COU_NOSOFTWAREFILE_2,
COU_NOSPACE_INTERNALMEMORY,No hay espacio en memoria interna
COU_NOSPACE_INTERNALMEMORY_2,
COU_NOSPACE_MS,No hay espacio en el Memory Stick
COU_NOSPACE_MS_2,
COU_NOT_SELECTED_FAV,No hay Favoritos seleccionados
COU_NOT_SELECTED_FAV_2,
COU_NOT_SELECTED_IMAGES,No imágen seleccionada
COU_NOT_SELECTED_IMAGES_2,
COU_NOT_SELECTED_SHARE,No hay Compartir seleccionado
COU_NOT_SELECTED_SHARE_2,
COU_PAPERERROR,Error papel
COU_PAPERERROR_2,
COU_PASSLOCK_CODE_MISS,Código de restablecimiento
COU_PASSLOCK_CODE_MISS_2,incorrecto
COU_PASSLOCK_PASS_MISS,Contraseña incorrecta
COU_PASSLOCK_PASS_MISS_2,
COU_POWEROFFON,Apagar y encender la cámara
COU_POWEROFFON_2,
COU_PRINTERBUSY,Impresora ocupada
COU_PRINTERBUSY_2,
COU_PRINTERERROR,Error impresora
COU_PRINTERERROR_2,
COU_READONLYMEMORY,Memoria de sólo lectura
COU_READONLYMEMORY_2,
COU_READONLY_FOLDER,Carpeta de sólo lectura
COU_READONLY_FOLDER_2,
COU_REDEYE_DETECTED,No se detectan ojos rojos
COU_REDEYE_DETECTED_2,
COU_SCRNTOUCH_INVALID,La pantalla táctil no responde en
COU_SCRNTOUCH_INVALID_2,este área
COU_SELFTIMER_INVALID,El autodisparador no es válido
COU_SELFTIMER_INVALID_2,
COU_SMILESHUTTER_AUTOONLY,Disponib. sólo captador de sonrisas
COU_SMILESHUTTER_AUTOONLY_2,cdo. ModoGrabación está en "Auto"
COU_SYSTEMERROR,Error sistema
COU_SYSTEMERROR_2,
COU_TARGET_DETECTED,No puede detectarse cara
COU_TARGET_DETECTED_2,para retocar
COU_TARGET_NOIMAGE,No hay imágenes fijas
COU_TARGET_NOIMAGE_2,
COU_ZOOM_INVALID,Zoom desactivado
COU_ZOOM_INVALID_2,
DUMMY,
GUIDE_BUTTON,Toque el botón que quiere usar
GUIDE_CENTER,Toque el punto para centrar
GUIDE_CHANGEFOCUS,Mueva posición enfoque tocando
GUIDE_CHOOSEFOCUS,Elija posición enfoque tocando
GUIDE_DEMO_BACKLIGHT,Se detectó contraluz
GUIDE_DEMO_BACKLIGHTPORTRAIT,Se detectaron contraluz y gente
GUIDE_DEMO_LANDSCAPE,Se detectó paisaje
GUIDE_DEMO_MACRO,Se detectó motivo muy cerca
GUIDE_DEMO_PORTRAIT,Se detectó gente
GUIDE_DEMO_TRIPOD,Se detectó crepúsculo y trípode
GUIDE_DEMO_TWILIGHT,Se detectó crepúsculo
GUIDE_DEMO_TWILIGHTPORTRAIT,Se detectó crepúsculo y gente
GUIDE_EFFECTLEVEL,Seleccione el nivel de efecto
GUIDE_EXIT_TOUCH,Sale cuando se toca el LCD
GUIDE_LIGHTBEAM_LEVEL,Seleccione nivel de rayo de luz
GUIDE_RANGE,Seleccione el rango de efecto
GUIDE_RESIZE,Cambio de tamaño terminado
GUIDE_RETOUCH_COMPLETE,Retoque terminado
GUIDE_RETRO_LIGHT,Selecciona la gama de brillo
GUIDE_ROTATEIMG,Toque la imagen a girar
GUIDE_SAVESIZE,Seleccione el tamaño a guardar
GUIDE_SELECTFACE,Seleccione cara tocando
GUIDE_SELECTFAV,Seleccione la carpeta Favoritos
GUIDE_SMILEDEMO_START,Selec. icono de sonrisa para iniciar
