CAMMENU_0EV,0EV
CAMMENU_WB_FLUORESCENT1_GUIDE_2,
CAMMENU_WB_FLUORESCENT2,Lysrör 2
CAMMENU_WB_FLUORESCENT2_GUIDE,För tagning under naturligt
CAMMENU_WB_FLUORESCENT2_GUIDE_2,vita lysrör
CAMMENU_WB_FLUORESCENT3,Lysrör 3
CAMMENU_WB_FLUORESCENT3_GUIDE,För tagning under lysrör
CAMMENU_WB_FLUORESCENT3_GUIDE_2,med naturligt ljus
CAMMENU_WB_INCANDESCENT,Glödlampa
CAMMENU_WB_INCANDESCENT_GUIDE,För tagning i glödlamps-
CAMMENU_WB_INCANDESCENT_GUIDE_2,eller videobelysning
CAMMODE_AUTO,Autom. inställningar
CAMMODE_AUTO_GUIDE,Tagning med
CAMMODE_AUTO_GUIDE_2,automatiska inställningar
CAMMODE_BEACH,Strand
CAMMODE_BEACH_GUIDE,Tagning vid vatten
CAMMODE_BEACH_GUIDE_2,med en djup blå färg
CAMMODE_COOKING,Gourmet
CAMMODE_COOKING_GUIDE,Naturliga bilder på mat
CAMMODE_COOKING_GUIDE_2,
CAMMODE_EASY,Enkel tagning
CAMMODE_EASY_GUIDE,Helautomatisk tagning
CAMMODE_EASY_GUIDE_2,med förenklad display
CAMMODE_FIREWORKS,Fyrverkeri
CAMMODE_FIREWORKS_GUIDE,Ta vackra bilder
CAMMODE_FIREWORKS_GUIDE_2,på fyrverkerier
CAMMODE_HIGHSENSITIVITY,Hög känslighet
CAMMODE_HIGHSENSITIVITY_GUIDE,Ta skarpa bilder utan blixt i
CAMMODE_HIGHSENSITIVITY_GUIDE_2,svag belysning
CAMMODE_HIGHSPEEDSHUTTER,Snabbslutarläge
CAMMODE_HIGHSPEEDSHUTTER_GUIDE,Frysning av motiv
CAMMODE_HIGHSPEEDSHUTTER_GUIDE_2,som rör sig snabbt
CAMMODE_LANDSCAPE,Landskap
CAMMODE_LANDSCAPE_GUIDE,Tagning med
CAMMODE_LANDSCAPE_GUIDE_2,oändligt avstånd
CAMMODE_MOVIE,Filmläge
CAMMODE_MOVIE_GUIDE,Filminspelning med ljud
CAMMODE_MOVIE_GUIDE_2,
CAMMODE_PAUTO,Autoprogram
CAMMODE_PAUTO_GUIDE,Automatisk exponering med
CAMMODE_PAUTO_GUIDE_2,olika inställningsmöjligheter
CAMMODE_SNOW,Snö
CAMMODE_SNOW_GUIDE,För ljusa bilder på vitaktiga
CAMMODE_SNOW_GUIDE_2,scener
CAMMODE_SOFTSNAP,Soft Snap
CAMMODE_SOFTSNAP_GUIDE,För mjuka bilder på
CAMMODE_SOFTSNAP_GUIDE_2,människor, blommor, osv
CAMMODE_TWILIGHT,Skymning
CAMMODE_TWILIGHTPORTRAIT,Skymningsporträtt
CAMMODE_TWILIGHTPORTRAIT_GUIDE,För porträttagning i svag
CAMMODE_TWILIGHTPORTRAIT_GUIDE_2,belysning med blixt
CAMMODE_TWILIGHTTRIPOD_GUIDE,För tagning med stativ
CAMMODE_TWILIGHTTRIPOD_GUIDE_2,i svag belysning
CAMMODE_WATER,Undervatten
CAMMODE_WATER_GUIDE,För tagning med undervat-
CAMMODE_WATER_GUIDE_2,tenshus med naturliga färger
CLOCKMENU_APR,APR
CLOCKMENU_AUG,AUG
CLOCKMENU_DEC,DEC
CLOCKMENU_DMY,D-M-Å
CLOCKMENU_FEB,FEB
CLOCKMENU_JAN,JAN
CLOCKMENU_JUL,JUL
CLOCKMENU_JUN,JUN
CLOCKMENU_MAR,MAR
CLOCKMENU_MAY,MAJ
CLOCKMENU_MDY,M-D-Å
CLOCKMENU_NOV,NOV
CLOCKMENU_OCT,OKT
CLOCKMENU_SEP,SEP
CLOCKMENU_UNKNOWN,---
CLOCKMENU_YMD,Å-M-D
COM_AUTO,Auto
COM_BACK,Tillbaka
COM_CANCEL,Ångra
COM_CLEAR,Ta bort
COM_CLEARALL,Nollställ allt
COM_CONTINUE,Forts.
COM_CREATED,Skapad
COM_ENTRY,Lägg till
COM_EXIT,Avsluta
COM_FAST,Snabb
COM_HIGH,Hög
COM_INTERNALMEMORY,Internminne
COM_LOW,Låg
COM_MED,Mellan
COM_MIN,min
COM_MOVIEREC,INSP
COM_MOVIESTBY,Standby
COM_MS,Memory Stick
COM_MS_AND_INTERNALMEMORY,Memory Stick ＋ Internminne
COM_NOOFFILES,Antal filer
COM_NORMAL,Normal
COM_OFF,Av
COM_OK,OK
COM_ON,På
COM_PREVIEW,Förgranskning
COM_REMAIN,Återst. bilder
COM_SAVE,Spara
COM_SLOW,Långsam
COM_STANDARD,Standard
COM_STANDARD2,Standard
COM_START,Start
COM_USBMODE,USB-läge
COM_VOLUME,VOL.
COU_640FINE,640(Fin) saknas
COU_640FINE_2,
COU_AUDIOPLUGIN,Sätt i en ljudkontakt för att
COU_AUDIOPLUGIN_2,mata ut ljudet
COU_BATTERY_HEATED,Kameran överhettad
COU_BATTERY_HEATED_2,Låt den svalna
COU_BATTERY_INFOLITHIUM,Endast för "InfoLITHIUM"- batteri
COU_BATTERY_INFOLITHIUM_2,
COU_BATTERY_INVALID,Använd endast kompatibla batterier
COU_BATTERY_INVALID_2,
COU_BGM_ERROR,Musikfel
COU_BGM_ERROR_2,
COU_BGM_FORMATERROR,Musikminnes-formateringsfel
COU_BGM_FORMATERROR_2,
COU_BURST_INVALID,Burst fungerar ej
COU_BURST_INVALID_2,
COU_CANNOTACCESS_MS,Kan ej läsa/skriva på Memory Stick
COU_CANNOTACCESS_MS_2,Ingen åtkomst
COU_CANNOTCREATE_FOLDERS,Kan ej skapa fler mappar
COU_CANNOTCREATE_FOLDERS_2,
COU_DATA_ERROR,Bildhanteringsfilfel
COU_DATA_ERROR_2,
COU_ERROR10,Fel 10
COU_ERROR20,Fel 20
COU_ERROR30,Fel 30
COU_ERROR40,Fel 40
COU_ERROR50,Fel 50
COU_EXCEEDED_LIMIT,Max antal bilder valda
COU_EXCEEDED_LIMIT_2,
COU_FILEERROR,Filfel
COU_FILEERROR_2,
COU_FILEPROTECT,Filskydd
COU_FILEPROTECT_2,
COU_FLASHSETTING_INVALID,Blixtinställningarna går inte
COU_FLASHSETTING_INVALID_2,att ändra
COU_FOLDER_ERROR,Mappfel
COU_FOLDER_ERROR_2,
COU_FORMATERROR_INTERNALMEMORY,Formateringsfel för internminnet
COU_FORMATERROR_INTERNALMEMORY_2,
COU_FORMATERROR_MS,Formateringsfel för Memory Stick
COU_FORMATERROR_MS_2,
COU_IMAGESIZEOVER,För stor bild
COU_IMAGESIZEOVER_2,
COU_INKERROR,Tryckfärgsfel
COU_INKERROR_2,
COU_INVALID_FILE,Ogiltig fil
COU_INVALID_FILE_2,
COU_INVALID_FOLDER,Denna manöver kan ej utföras
COU_INVALID_FOLDER_2,under mappvisning
COU_INVALID_MS,Bildhanteringsfilen går ej att lagra
COU_INVALID_MS_2,på denna Memory Stick
COU_INVALID_OPERATION,Ogiltig manöver
COU_INVALID_OPERATION_HDOUT,Denna manöver kan ej utföras
COU_INVALID_OPERATION_HDOUT_2,under HD(1080i)-utmatning
COU_INVALID_OPERATION_MOVIEFILE,Denna manöver kan ej utföras
COU_INVALID_OPERATION_MOVIEFILE_2,för filmfiler
COU_INVALID_OPERATION_NGFILE,Denna manöver kan ej utföras
COU_INVALID_OPERATION_NGFILE_2,för ostödda filer
COU_INVALID_OPERATION_PICTBRIDGE,Denna manöver kan ej utföras
COU_INVALID_OPERATION_PICTBRIDGE_2,under PictBridge-anslutning
COU_INVALID_OPERATION_REMOTE,Denna manöver kan ej utföras
COU_INVALID_OPERATION_REMOTE_2,med fjärrkontrollen
COU_INVALID_OPERATION_TVOUT,Denna manöver kan ej utföras
COU_INVALID_OPERATION_TVOUT_2,under utmatning till en TV
COU_LENSCAPOFF,Ta av linsskyddet, stäng av kameran
COU_LENSCAPOFF_2,och slå på den igen
COU_LENSCOVER_OPEN,Öppna linsskyddet för att
COU_LENSCOVER_OPEN_2,fotografera
COU_LOWINK,Färgen nästan slut
COU_LOWINK_2,
COU_MACRO_INVALID,Makroläget går ej att använda
COU_MACRO_INVALID_2,
COU_MEDIAERROR_INTERNALMEMORY,Internminnesfel
COU_MEDIAERROR_INTERNALMEMORY_2,
COU_METERING_INVALID,Ljusmätning går ej att utföra
COU_METERING_INVALID_2,
COU_MSR_NOTUSEFUNCTION,Funktionen ej stödd på detta
COU_MSR_NOTUSEFUNCTION_2,Memory Stick-minneskort
COU_MS_ERROR,Sätt i Memory Stick-kortet igen
COU_MS_ERROR_2,
COU_MS_LOCKED,Memory Stick låst
COU_MS_LOCKED_2,
COU_MS_TYPEERROR,Fel Memory Stick-typ
COU_MS_TYPEERROR_2,
COU_NOBATTERY,För svagt batteri
COU_NOIMAGE,Inga bilder
COU_NOIMAGE_2,
COU_NOIMAGE_PLAY,Vissa bilder ej överförda
COU_NOIMAGE_PLAY_2,Okänt format.
COU_NOINK,Färgen slut
COU_NOINK_2,
COU_NOMS,Ingen Memory Stick
COU_NOMS_2,
COU_NOPAPER,Inget papper
COU_NOPAPER_2,
COU_NOSOFTWAREFILE,Ingen mjukvarufil
COU_NOSOFTWAREFILE_2,
COU_NOSPACE_INTERNALMEMORY,Utrymme saknas i interminnet
COU_NOSPACE_INTERNALMEMORY_2,
COU_NOSPACE_MS,Utrymme saknas på Memory Stick
COU_NOSPACE_MS_2,
COU_NOT_SELECTED_FAV,Inga Favoriter valda
COU_NOT_SELECTED_FAV_2,
