CAMMENU_0EV,0EV
COU_NOBATTERY,Não há bateria suficiente
COU_NOIMAGE,Sem imagens
COU_NOIMAGE_2,
COU_NOIMAGE_PLAY,Alguma imagem não se transferiu
COU_NOIMAGE_PLAY_2,Formato irreconhecível.
COU_NOINK,Sem tinta
COU_NOINK_2,
COU_NOMS,Não há Memory Stick
COU_NOMS_2,
COU_NOPAPER,Sem papel
COU_NOPAPER_2,
COU_NOSOFTWAREFILE,Não há arquivo de software
COU_NOSOFTWAREFILE_2,
COU_NOSPACE_INTERNALMEMORY,Não há espaço na memória interna
COU_NOSPACE_INTERNALMEMORY_2,
COU_NOSPACE_MS,Não há espaço no Memory Stick
COU_NOSPACE_MS_2,
COU_NOT_SELECTED_FAV,Sem Favoritos seleccionados
COU_NOT_SELECTED_FAV_2,
COU_NOT_SELECTED_IMAGES,Sem imagem seleccionada
COU_NOT_SELECTED_IMAGES_2,
COU_NOT_SELECTED_SHARE,Sem Marca de partilha selec
COU_NOT_SELECTED_SHARE_2,
COU_PAPERERROR,Erro papel
COU_PAPERERROR_2,
COU_PASSLOCK_CODE_MISS,Código de Reposição Incorrecto
COU_PASSLOCK_CODE_MISS_2,
COU_PASSLOCK_PASS_MISS,Senha Incorrecta
COU_PASSLOCK_PASS_MISS_2,
COU_POWEROFFON,Desligar e ligar novamente
COU_POWEROFFON_2,
COU_PRINTERBUSY,Impressora ocupada
COU_PRINTERBUSY_2,
COU_PRINTERERROR,Erro impressora
COU_PRINTERERROR_2,
COU_READONLYMEMORY,Memória só leitura
COU_READONLYMEMORY_2,
COU_READONLY_FOLDER,Pasta só de leitura
COU_READONLY_FOLDER_2,
COU_REDEYE_DETECTED,Sem detecção de olhos vermelhos
COU_REDEYE_DETECTED_2,
COU_SCRNTOUCH_INVALID,Ecrã táctil desactivado nesta área
COU_SCRNTOUCH_INVALID_2,
COU_SELFTIMER_INVALID,O temporizador automático é
COU_SELFTIMER_INVALID_2,inválido
COU_SMILESHUTTER_AUTOONLY,Obt Sorriso está apenas disponível
COU_SMILESHUTTER_AUTOONLY_2,qd modo GRAV está em "Auto"
COU_SYSTEMERROR,Erro de sistema
COU_SYSTEMERROR_2,
COU_TARGET_DETECTED,Incapaz de detectar cara
COU_TARGET_DETECTED_2,para retoque
COU_TARGET_NOIMAGE,Sem imagens fixas
COU_TARGET_NOIMAGE_2,
COU_ZOOM_INVALID,Zoom desactivado
COU_ZOOM_INVALID_2,
DUMMY,
GUIDE_BUTTON,Tocar no botão que quer usar
GUIDE_CENTER,Tocar no ponto para centrar
GUIDE_CHANGEFOCUS,Mudar posição de foco por toque
GUIDE_CHOOSEFOCUS,Escolher posição foco por toque
GUIDE_DEMO_BACKLIGHT,Luz de fundo detectada
GUIDE_DEMO_BACKLIGHTPORTRAIT,Luz de fundo e pessoas detectadas
GUIDE_DEMO_LANDSCAPE,Paisagem detectada
GUIDE_DEMO_MACRO,Motivo muito próximo detectado
GUIDE_DEMO_PORTRAIT,Pessoas detectadas
GUIDE_DEMO_TRIPOD,Crepúsculo e tripé detectados
GUIDE_DEMO_TWILIGHT,Crepúsculo detectado
GUIDE_DEMO_TWILIGHTPORTRAIT,Crepúsculo e pessoas detectados
GUIDE_EFFECTLEVEL,Seleccionar o nível de efeito
GUIDE_EXIT_TOUCH,Sair quando o LCD for tocado
GUIDE_LIGHTBEAM_LEVEL,Seleccion o nível de feixe de luz
GUIDE_RANGE,Seleccionar a variação de efeito
GUIDE_RESIZE,Redimensão concluída
GUIDE_RETOUCH_COMPLETE,Retoque concluído
GUIDE_RETRO_LIGHT,Selecciona variação de brilho
GUIDE_ROTATEIMG,Tocar na imagem a ser rodada
GUIDE_SAVESIZE,Selec o tamanho a ser guardado
GUIDE_SELECTFACE,Seleccionar cara por toque
GUIDE_SELECTFAV,Seleccione a pasta Favoritos
GUIDE_SMILEDEMO_START,Selec ícone de sorriso para iniciar
GUIDE_SMILESHUTTER_EXIT,Selec ícone de sorriso para sair
GUIDE_STARTIMG,Tocar na imag inicia slideshow
